id,taskid,filename,visitid,customername,storetype,salesgroup,distr_chan,mastertaskname,salescampaignname,salescyclename,sales_office,mrchr_visitdate,filepath,label
0,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
1,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_201701,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
2,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_201703,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
3,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_七月份_2017,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
4,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_十月份_2017,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
5,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_十月份_2017,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
6,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_201702,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
7,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_四月份_2017,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
8,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_九月份_2017,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
9,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
10,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_九月份_2017,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
11,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_十月份_2017,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
12,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
13,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
14,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_六月份_2017,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
15,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_五月份_2017,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
16,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_201703,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
17,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_七月份_2017,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
18,00930b1a-9a56-4a03-a424-c49523aa81b1-MySales,00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,48e738eb-e62d-473b-b503-644a189be03e-MySales,家樂福沙鹿店,hyper,Carrefour 家樂福,,TW_Task_促銷陳列調查_C4_DM11,TW_Campaign_C4_2017Mar,TW_Cycle_CF_201702,,,C:\Users\akuma375\Consumer_ImageData\00930b1a-9a56-4a03-a424-c49523aa81b1-MyRep-761EEA5F-43EF-4F18-9324-BA6C456874A7.jpg,Johnson Baby
